# Word-specific describer hints: english|hint_en|hint_ar
# Words not listed here fall back to their category hint.
Honey|Sweet golden liquid made by bees.|سائل ذهبي حلو يصنعه النحل.
Chocolate|Sweet brown treat kids love.|حلوى بنية يحبها الأطفال.
Bread|Baked from flour, eaten with every meal.|يُخبز من الطحين ويؤكل مع كل وجبة.
Rice|Small white grains cooked as a main dish.|حبوب بيضاء صغيرة تطبخ كطبق رئيسي.
Cat|Small pet that says meow and catches mice.|حيوان أليف صغير يموء ويصطاد الفئران.
Dog|Loyal pet that barks and guards the house.|حيوان أليف وفي ينبح ويحرس البيت.
Horse|Big animal you ride, it runs fast.|حيوان كبير نركبه ويجري بسرعة.
Cow|Farm animal that gives us milk.|حيوان المزرعة يعطينا الحليب.
Sheep|Farm animal covered in wool, says baa.|حيوان المزرعة يغطيه الصوف ويثغو.
Goat|Farm animal with horns that climbs and eats everything.|حيوان مزرعة بقرون يتسلق ويأكل كل شيء.
Camel|Desert animal with a hump, stores water.|حيوان الصحراء له سنام ويخزن الماء.
Lion|King of the jungle with a big mane.|ملك الغابة وله لبدة كبيرة.
Tiger|Big striped wild cat, orange and black.|قط بري كبير مخطط بالبرتقالي والأسود.
Elephant|The biggest land animal, has a trunk.|أكبر حيوان بري وله خرطوم.
Monkey|Climbs trees and eats bananas.|يتسلق الأشجار ويأكل الموز.
Rabbit|Small animal with long ears, hops and eats carrots.|حيوان صغير بأذنين طويلتين يقفز ويأكل الجزر.
Bird|Has wings and feathers, flies in the sky.|له جناحان وريش ويطير في السماء.
Eagle|Big strong bird that flies very high.|طائر كبير قوي يحلق عاليا جدا.
Owl|Night bird with big eyes, turns its head around.|طائر الليل بعيون كبيرة يدير رأسه.
Snake|Long animal with no legs, it slithers.|حيوان طويل بلا أرجل يزحف.
Turtle|Slow animal that carries its house on its back.|حيوان بطيء يحمل بيته على ظهره.
Bee|Small insect that makes honey and can sting.|حشرة صغيرة تصنع العسل وقد تلسع.
Duck|Water bird that swims and says quack.|طائر مائي يسبح ويبطبط.
Wolf|Wild animal like a dog, howls at the moon.|حيوان بري يشبه الكلب ويعوي في الليل.
Sun|Shines in the sky during the day, gives heat.|تسطع في السماء نهارا وتعطي الدفء.
Moon|Shines at night, changes shape every month.|يضيء ليلا ويتغير شكله كل شهر.
Star|Small lights in the night sky.|أضواء صغيرة تلمع في سماء الليل.
Sky|Blue above us, where clouds and birds are.|الأزرق فوقنا حيث الغيوم والطيور.
Cloud|White or grey in the sky, brings rain.|أبيض أو رمادي في السماء ويجلب المطر.
Rain|Water falling from the clouds.|ماء ينزل من الغيوم.
Snow|White and cold, falls in winter.|أبيض وبارد ينزل في الشتاء.
Wind|You feel it but cannot see it, moves the trees.|نشعر به ولا نراه ويحرك الأشجار.
Mountain|Very high land, people climb it.|أرض مرتفعة جدا يتسلقها الناس.
River|Long water flowing to the sea.|ماء طويل يجري نحو البحر.
Sea|Big salty water where ships sail.|ماء مالح واسع تبحر فيه السفن.
Lake|Water surrounded by land, calm and still.|ماء تحيط به اليابسة، هادئ وساكن.
Desert|Hot dry land full of sand.|أرض حارة جافة مليئة بالرمل.
Forest|Land covered with many trees and animals.|أرض مغطاة بأشجار كثيرة وحيوانات.
Tree|Tall plant with a trunk, branches and leaves.|نبتة عالية لها جذع وأغصان وأوراق.
Flower|Colorful part of a plant, smells nice.|جزء ملون من النبتة ورائحته جميلة.
Grass|Green and short, covers the ground.|أخضر وقصير يغطي الأرض.
Stone|Hard small piece from the ground.|قطعة صلبة صغيرة من الأرض.
Sand|Tiny grains at the beach and desert.|حبيبات دقيقة في الشاطئ والصحراء.
Fire|Hot and bright, it burns.|حار ومضيء ويحرق.
Book|Pages you read, has a cover.|صفحات نقرؤها ولها غلاف.
Notebook|You write your notes and lessons in it.|نكتب فيه ملاحظاتنا ودروسنا.
Pen|You write with it in blue or black ink.|نكتب به بحبر أزرق أو أسود.
Pencil|You write with it and can erase it.|نكتب به ويمكن محو ما كتبنا.
Eraser|Removes pencil writing from paper.|يمحو كتابة قلم الرصاص من الورقة.
Bag|You carry your books and things in it.|نحمل فيها الكتب والأغراض.
Teacher|The person who explains lessons at school.|الشخص الذي يشرح الدروس في المدرسة.
Student|The person who learns at school.|الشخص الذي يتعلم في المدرسة.
Paper|White sheet you write or draw on.|ورقة بيضاء نكتب أو نرسم عليها.
Computer|Machine with a screen and keyboard for work and games.|جهاز بشاشة ولوحة مفاتيح للعمل والألعاب.
Keyboard|You type letters on it.|نكتب عليها الحروف بالضغط.
Mouse|You move it to control the computer pointer.|نحركها للتحكم بمؤشر الحاسوب.
Screen|You watch and read on it.|نشاهد ونقرأ عليها.
Printer|Machine that puts what's on the screen onto paper.|جهاز ينقل ما في الشاشة إلى الورق.
Phone|You call and message people with it.|نتصل ونراسل به الناس.
Charger|You plug it in to fill the battery.|نوصله بالكهرباء لملء البطارية.
Battery|Stores power for phones and toys.|تخزن الطاقة للهواتف والألعاب.
Letter|You write it and send it by mail.|نكتبها ونرسلها بالبريد.
Dictionary|Book that explains the meaning of words.|كتاب يشرح معاني الكلمات.
Ruler|Straight tool for measuring and drawing lines.|أداة مستقيمة للقياس ورسم الخطوط.
Sofa|Long soft seat for several people in the living room.|مقعد طويل ووثير لعدة أشخاص في غرفة الجلوس.
Carpet|Covers the floor, soft under your feet.|تغطي الأرضية وناعمة تحت الأقدام.
Curtain|Cloth covering the window.|قماش يغطي النافذة.
Stairs|You climb them to go up a floor.|نصعد عليها للطابق الأعلى.
Roof|The top of the house, protects from rain.|أعلى البيت ويحمي من المطر.
Wall|Divides rooms, you hang pictures on it.|يفصل الغرف ونعلق عليه الصور.
Floor|You walk on it inside the house.|نمشي عليها داخل البيت.
Kitchen|The room where food is cooked.|الغرفة التي يطبخ فيها الطعام.
Bathroom|The room where you shower and wash.|الغرفة التي نستحم ونغتسل فيها.
Bedroom|The room where you sleep.|الغرفة التي ننام فيها.
Garden|Green space with flowers next to the house.|مساحة خضراء بالأزهار بجانب البيت.
Garage|Where the car sleeps at night.|المكان الذي تنام فيه السيارة.
Fence|Surrounds the garden, made of wood or metal.|يحيط بالحديقة من خشب أو معدن.
Broom|You sweep the floor with it.|نكنس بها الأرض.
Bucket|You fill it with water for cleaning.|نملؤه بالماء للتنظيف.
Soap|You wash your hands with it, makes foam.|نغسل به اليدين ويصنع رغوة.
Towel|You dry yourself with it after a shower.|ننشف به الجسم بعد الاستحمام.
Toothbrush|You clean your teeth with it morning and night.|ننظف بها الأسنان صباحا ومساء.
Comb|You fix your hair with it.|نسرح به الشعر.
Candle|Gives light with a small flame when power is out.|تضيء بلهب صغير عند انقطاع الكهرباء.
Basket|You carry fruits or laundry in it, often woven.|نحمل فيها الفواكه أو الغسيل، غالبا مجدولة.
Box|You store or ship things inside it, often cardboard.|نخزن أو نشحن فيه الأشياء، غالبا من الكرتون.
Shelf|Board on the wall to put books on.|لوح على الجدار نضع عليه الكتب.
Drawer|You pull it out of the desk to store things.|نسحبه من المكتب لتخزين الأشياء.
Vase|You put flowers with water in it.|نضع فيها الأزهار مع الماء.
Grape|Small round fruits in bunches, green or black.|فاكهة صغيرة مستديرة في عناقيد، خضراء أو سوداء.
Watermelon|Huge green fruit, red and juicy inside.|فاكهة ضخمة خضراء وداخلها أحمر كثير العصارة.
Strawberry|Small red heart-shaped fruit with tiny seeds.|فاكهة حمراء صغيرة بشكل قلب وعليها بذور دقيقة.
Peach|Soft fuzzy fruit with a big pit inside.|فاكهة ناعمة مخملية وداخلها نواة كبيرة.
Pear|Sweet fruit shaped like a light bulb.|فاكهة حلوة شكلها مثل المصباح.
Cherry|Tiny round red fruit on a small stem.|فاكهة حمراء صغيرة مستديرة بعنق رفيع.
Pineapple|Spiky tropical fruit, yellow inside, with a crown.|فاكهة استوائية شائكة صفراء من الداخل ولها تاج.
Mango|Sweet tropical fruit, orange inside.|فاكهة استوائية حلوة برتقالية من الداخل.
Date|Sweet brown fruit from the palm tree, eaten in Ramadan.|ثمرة بنية حلوة من النخلة تؤكل في رمضان.
Fig|Soft sweet fruit, purple or green, full of seeds.|ثمرة طرية حلوة بنفسجية أو خضراء مليئة بالبذور.
Olive|Small green or black fruit pressed into oil.|ثمرة صغيرة خضراء أو سوداء يعصر منها الزيت.
Tomato|Red round vegetable used in salads and sauces.|خضار أحمر مستدير يستخدم في السلطات والصلصات.
Potato|Grows underground, becomes fries and chips.|تنمو تحت الأرض وتصبح مقلية ورقائق.
Onion|Makes you cry when you cut it.|يجعلنا نبكي عندما نقطعه.
Garlic|Small white cloves with a strong smell.|فصوص بيضاء صغيرة برائحة قوية.
Carrot|Long orange vegetable rabbits love.|خضار برتقالي طويل يحبه الأرنب.
Cucumber|Long green vegetable eaten fresh in salads.|خضار أخضر طويل يؤكل طازجا في السلطة.
Lettuce|Green leaves, the base of every salad.|أوراق خضراء وهي أساس كل سلطة.
Corn|Yellow grains on a cob.|حبوب صفراء على كوز.
Beans|Small seeds cooked in stews.|بذور صغيرة تطبخ في اليخنات.
Meat|Comes from animals, grilled or cooked.|يأتي من الحيوانات ويشوى أو يطبخ.
Soup|Hot liquid food eaten with a spoon.|طعام سائل ساخن يؤكل بالملعقة.
Salad|Fresh vegetables mixed in a bowl.|خضروات طازجة تخلط في وعاء.
Butter|Yellow and soft, spread on bread.|صفراء وطرية تدهن على الخبز.
Yogurt|White and cool, made from milk, eaten with a spoon.|أبيض وبارد من الحليب يؤكل بالملعقة.
Jam|Sweet fruit spread for bread.|مربى حلو من الفواكه يدهن على الخبز.
Juice|Drink squeezed from fruits.|شراب يعصر من الفواكه.
Ice cream|Cold sweet treat in a cone, melts in summer.|حلوى باردة في بسكويتة تذوب في الصيف.
Sandwich|Bread with filling you take to school.|خبز محشو نأخذه إلى المدرسة.
Pizza|Round Italian dish with cheese and toppings.|طبق إيطالي دائري بالجبن والإضافات.
Fox|Clever wild animal with a bushy tail, red fur.|حيوان بري ماكر بذيل كث وفراء أحمر.
Bear|Big heavy animal that loves honey and sleeps in winter.|حيوان ضخم يحب العسل وينام في الشتاء.
Deer|Forest animal with branching horns, runs gracefully.|حيوان الغابة بقرون متفرعة يجري برشاقة.
Gazelle|Slim fast animal of the desert, symbol of beauty.|حيوان رشيق سريع في الصحراء ورمز للجمال.
Frog|Green jumping animal that lives near water, croaks.|حيوان أخضر قافز يعيش قرب الماء وينقنق.
Ant|Tiny hardworking insect living in colonies.|حشرة صغيرة مجتهدة تعيش في مستعمرات.
Fly|Annoying flying insect around food.|حشرة طائرة مزعجة حول الطعام.
Spider|Has eight legs and spins webs.|له ثماني أرجل وينسج الخيوط.
Butterfly|Colorful insect that was once a caterpillar.|حشرة ملونة كانت يرقة من قبل.
Mosquito|Tiny insect that bites you at night and buzzes.|حشرة دقيقة تلدغ ليلا وتطن.
Pigeon|Grey city bird that coos, symbol of peace.|طائر رمادي في المدينة يهدل ورمز للسلام.
Parrot|Colorful bird that repeats what you say.|طائر ملون يكرر ما تقوله.
Penguin|Black and white bird that swims but cannot fly, lives in ice.|طائر أبيض وأسود يسبح ولا يطير ويعيش في الجليد.
Dolphin|Smart friendly sea animal that jumps out of water.|حيوان بحري ذكي وودود يقفز فوق الماء.
Whale|The biggest animal in the sea, breathes air.|أكبر حيوان في البحر ويتنفس الهواء.
Shark|Scary sea hunter with many sharp teeth.|مفترس البحر المخيف بأسنان حادة كثيرة.
Octopus|Sea animal with eight arms and ink.|حيوان بحري بثماني أذرع وله حبر.
Crab|Sea animal that walks sideways with pincers.|حيوان بحري يمشي جانبيا وله كماشتان.
Donkey|Patient animal that carries loads and brays.|حيوان صبور يحمل الأثقال وينهق.
Bull|Strong male farm animal with horns, hates red.|حيوان مزرعة قوي بقرون ويقال إنه يكره الأحمر.
Pig|Pink farm animal that rolls in mud.|حيوان مزرعة وردي يتمرغ في الطين.
Squirrel|Small tree animal with a fluffy tail, collects nuts.|حيوان شجر صغير بذيل منفوش يجمع الجوز.
Hedgehog|Small animal covered in spikes, rolls into a ball.|حيوان صغير مغطى بالأشواك يتكور ككرة.
Bat|Flies at night and sleeps upside down.|يطير ليلا وينام مقلوبا.
Giraffe|The tallest animal with a very long neck.|أطول الحيوانات وعنقه طويل جدا.
Zebra|Looks like a horse with black and white stripes.|يشبه الحصان بخطوط سوداء وبيضاء.
Kangaroo|Australian animal that jumps and carries babies in a pouch.|حيوان أسترالي يقفز ويحمل صغاره في جيب.
Panda|Black and white bear that eats bamboo.|دب أبيض وأسود يأكل الخيزران.
Peacock|Bird that opens a fan of colorful feathers.|طائر يفتح مروحة من الريش الملون.
Rooster|Wakes everyone at dawn with its crow.|يوقظ الجميع فجرا بصياحه.
Beach|Sandy shore where people swim and sunbathe.|شاطئ رملي يسبح فيه الناس ويستجمون.
Wave|Moving water that rises and crashes on the shore.|ماء يرتفع ويرتطم بالشاطئ.
Ice|Frozen water, hard and cold.|ماء متجمد صلب وبارد.
Rainbow|Colorful arc in the sky after rain.|قوس ملون في السماء بعد المطر.
Storm|Strong wind and rain with thunder.|ريح قوية ومطر مع رعد.
Leaf|Green flat part of the tree, falls in autumn.|الجزء الأخضر المسطح من الشجرة يسقط في الخريف.
Branch|Arm of the tree where birds sit.|ذراع الشجرة يقف عليه الطير.
Root|The hidden part of the plant under the ground.|الجزء المخفي من النبتة تحت الأرض.
Seed|You plant it and a plant grows.|نزرعها فتنمو نبتة.
Fruit|The sweet part a tree gives you to eat.|الجزء الحلو الذي تعطينا إياه الشجرة لنأكله.
Hill|Small mountain, easy to climb.|جبل صغير يسهل صعوده.
Field|Open flat land where crops grow.|أرض مفتوحة مستوية تنمو فيها المحاصيل.
Farm|Where animals live and crops are grown.|حيث تعيش حيوانات المزرعة وتزرع المحاصيل.
Well|Deep hole in the ground with water.|حفرة عميقة في الأرض فيها ماء.
Palm tree|Tall tree of the desert that gives dates.|شجرة عالية في الصحراء تعطي التمر.
Rose|The most famous flower of love, red with thorns.|أشهر زهور الحب، حمراء ولها أشواك.
Wood|Comes from trees, used to make furniture.|يأتي من الأشجار ويصنع منه الأثاث.
Mud|Wet soil that sticks to shoes.|تراب مبلل يلتصق بالأحذية.
Dust|Tiny dry dirt flying in the air.|غبار دقيق جاف يتطاير في الهواء.
Fog|Low cloud that hides the road in the morning.|غيمة منخفضة تخفي الطريق صباحا.
Hand|You hold, write and wave with it, has five fingers.|نمسك ونكتب ونلوح بها ولها خمسة أصابع.
Eye|You see everything with it.|نرى بها كل شيء.
Ear|On the side of the head, used for hearing.|على جانب الرأس وتستخدم للسمع.
Nose|In the middle of the face, used for smelling.|في وسط الوجه ويستخدم للشم.
Mouth|You eat and speak with it.|نأكل ونتكلم به.
Head|The top of the body, holds the brain.|أعلى الجسم وفيه الدماغ.
Hair|Grows on the head, you comb it.|ينمو على الرأس ونسرحه.
Face|The front of the head with eyes, nose and mouth.|مقدمة الرأس وفيه العينان والأنف والفم.
Tooth|White and hard in the mouth, used for chewing.|أبيض وصلب في الفم ويستخدم للمضغ.
Tongue|Moves in your mouth, used for tasting and speaking.|يتحرك في الفم ويستخدم للتذوق والكلام.
Neck|Connects the head to the body.|يصل الرأس بالجسم.
Shoulder|You carry your bag on it.|نحمل عليه الحقيبة.
Arm|Between the shoulder and the hand.|بين الكتف واليد.
Finger|You have ten of them, used for pointing.|لدينا عشرة منها وتستخدم للإشارة.
Leg|You walk and run with it.|نمشي ونجري بها.
Foot|At the end of the leg, you stand on it.|في نهاية الساق ونقف عليها.
Knee|The joint in the middle of the leg that bends.|المفصل في وسط الساق الذي ينثني.
Back|Behind you, carries you all day, hurts when tired.|خلفنا ويحملنا طوال اليوم ويؤلم عند التعب.
Heart|Beats in your chest and pumps blood.|ينبض في الصدر ويضخ الدم.
Stomach|Where food goes after you eat.|حيث يذهب الطعام بعد الأكل.
Mother|The woman who gave birth to you.|المرأة التي ولدتك.
Father|The man of the family, married to your mother.|رجل العائلة وزوج الأم.
Brother|A boy with the same parents as you.|ولد من نفس والديك.
Sister|A girl with the same parents as you.|بنت من نفس والديك.
Grandfather|Your father's or mother's father.|والد الأب أو الأم.
Grandmother|Your father's or mother's mother.|والدة الأب أو الأم.
Uncle|Your father's or mother's brother.|أخو الأب أو الأم.
Aunt|Your father's or mother's sister.|أخت الأب أو الأم.
Son|A boy child of his parents.|الولد الذكر لوالديه.
Daughter|A girl child of her parents.|البنت الأنثى لوالديها.
Baby|Very small child that cries and crawls.|طفل صغير جدا يبكي ويحبو.
Family|Parents and children together.|الوالدان والأولاد معا.
Friend|Someone you love and play with, not from your family.|شخص تحبه وتلعب معه وليس من عائلتك.
Neighbor|The person living next to your house.|الشخص الذي يسكن بجانب بيتك.
Guest|Someone who visits your house.|شخص يزور بيتك.
Shirt|You wear it on the upper body, has buttons.|نلبسه على الجزء العلوي وله أزرار.
Pants|You wear them on your legs.|نلبسه على الساقين.
Dress|One piece worn by girls and women.|قطعة واحدة تلبسها البنات والنساء.
Skirt|Worn by girls from the waist down.|تلبسها البنات من الخصر إلى الأسفل.
Coat|Warm long clothing for cold winter days.|لباس طويل دافئ لأيام الشتاء الباردة.
Shoes|You wear them on your feet to walk outside.|نلبسها في القدمين للمشي خارجا.
Socks|Worn on the feet inside the shoes.|تلبس في القدمين داخل الحذاء.
Hat|You wear it on your head.|نلبسها على الرأس.
Cap|Head cover with a front part against the sun.|غطاء رأس بمقدمة تحمي من الشمس.
Pajamas|Comfortable clothes you sleep in.|ملابس مريحة ننام بها.
Sweater|Warm knitted top for winter.|لباس علوي محبوك دافئ للشتاء.
Shorts|Short pants for summer and sports.|سروال قصير للصيف والرياضة.
Tie|Long cloth men wear around the neck with suits.|قماش طويل يلبسه الرجال حول العنق مع البدلة.
Ring|Jewelry worn on the finger, given at weddings.|حلية تلبس في الإصبع وتقدم في الزواج.
Watch|You wear it on your wrist to know the time.|نلبسها في المعصم لمعرفة الوقت.
Car|Has four wheels, you drive it on roads.|لها أربع عجلات ونقودها على الطرق.
Bus|Big vehicle carrying many passengers in the city.|مركبة كبيرة تنقل ركابا كثيرين في المدينة.
Train|Long vehicle running on rails.|مركبة طويلة تسير على سكة.
Airplane|Flies in the sky carrying travelers.|تطير في السماء وتحمل المسافرين.
Boat|Small vehicle that floats on water.|مركبة صغيرة تطفو على الماء.
Ship|Very big boat crossing the seas.|قارب ضخم يعبر البحار.
Taxi|Car you pay to take you somewhere, often yellow.|سيارة تدفع لها لتوصلك وغالبا صفراء.
Truck|Big vehicle that carries heavy goods.|مركبة كبيرة تنقل البضائع الثقيلة.
Van|Medium vehicle for carrying people or packages.|مركبة متوسطة لنقل الناس أو الطرود.
Road|Cars drive on it between cities.|تسير عليه السيارات بين المدن.
Street|Road inside the city with shops and houses.|طريق داخل المدينة فيه المحلات والبيوت.
Traffic light|Red, yellow and green, controls the cars.|أحمر وأصفر وأخضر ويتحكم بالسيارات.
Ticket|You buy it to ride the bus or enter the cinema.|نشتريها لركوب الحافلة أو دخول السينما.
Airport|Where airplanes land and take off.|حيث تهبط الطائرات وتقلع.
Station|Where you wait for the train or bus.|حيث ننتظر القطار أو الحافلة.
House|The building where a family lives.|المبنى الذي تعيش فيه العائلة.
School|Where children go to learn every day.|حيث يذهب الأطفال ليتعلموا كل يوم.
Hospital|Where sick people are treated.|حيث يعالج المرضى.
Shop|Small place where you buy things.|مكان صغير نشتري منه الأشياء.
Market|Place with many sellers of food and goods.|مكان فيه باعة كثيرون للطعام والبضائع.
Restaurant|You go there to eat a meal you don't cook.|نذهب إليه لنأكل وجبة لا نطبخها.
Bank|Where people keep and withdraw their money.|حيث يحفظ الناس أموالهم ويسحبونها.
Park|Green place where children play.|مكان أخضر يلعب فيه الأطفال.
Mall|Big building full of shops.|مبنى كبير مليء بالمحلات.
Hotel|You sleep there when traveling.|ننام فيه عند السفر.
Bakery|Where bread and cakes are baked and sold.|حيث يخبز ويباع الخبز والحلويات.
Pharmacy|Where you buy medicine.|حيث نشتري الدواء.
Police station|Where officers work and protect the city.|حيث يعمل رجال الأمن ويحمون المدينة.
Library|Quiet place full of books to borrow.|مكان هادئ مليء بالكتب للاستعارة.
Post office|Where letters and packages are sent.|حيث ترسل الرسائل والطرود.
Ball|Round thing you kick or throw in games.|شيء مستدير نركله أو نرميه في الألعاب.
Football|The most popular game, played with feet.|أشهر لعبة في العالم وتلعب بالأقدام.
Basketball|Game where you throw the ball into a high hoop.|لعبة نرمي فيها الكرة في سلة عالية.
Swimming|Moving through water with arms and legs.|التحرك في الماء بالذراعين والساقين.
Race|Competition to see who is fastest.|منافسة لمعرفة الأسرع.
Goal|When the ball enters the net, everyone cheers.|عندما تدخل الكرة الشبكة يهتف الجميع.
Team|Group of players playing together.|مجموعة لاعبين يلعبون معا.
Player|The person who plays in the game.|الشخص الذي يلعب في المباراة.
Coach|Trains the players and plans the game.|يدرب اللاعبين ويخطط للمباراة.
Rope|Long strong cord for pulling or jumping.|حبل طويل قوي للشد أو القفز.
Desk|The table you sit at in class or office.|الطاولة التي نجلس إليها في الصف أو المكتب.
Blackboard|The teacher writes on it in class.|يكتب عليها المعلم في الصف.
Chalk|White stick the teacher writes with.|عود أبيض يكتب به المعلم.
Classroom|The room where students study.|الغرفة التي يدرس فيها التلاميذ.
Glue|Sticky liquid that joins papers together.|سائل لاصق يلصق الأوراق ببعضها.
Microscope|Lab device that makes tiny things look big.|جهاز مختبر يكبر الأشياء الدقيقة جدا.
Molecule|Tiny particle made of atoms joined together.|جسيم دقيق يتكون من ذرات مرتبطة.
Atom|The smallest building block of everything.|أصغر وحدة بناء لكل شيء.
Gravity|The force that pulls things down to the ground.|القوة التي تسحب الأشياء نحو الأرض.
Vaccine|Injection that protects you from a disease.|حقنة تحمي من المرض قبل حدوثه.
Bacteria|Tiny living things, some cause sickness.|كائنات دقيقة جدا وبعضها يسبب المرض.
Fossil|Remains of ancient animals turned to stone.|بقايا حيوانات قديمة تحولت إلى حجر.
Eclipse|When the moon hides the sun in daytime.|عندما يحجب القمر الشمس نهارا.
Pendulum|Weight swinging left and right in old clocks.|ثقل يتأرجح يمينا ويسارا في الساعات القديمة.
Prism|Glass shape that splits light into rainbow colors.|قطعة زجاجية تفرق الضوء إلى ألوان قوس قزح.
Radiation|Invisible energy waves, can be dangerous.|طاقة غير مرئية تنتشر وقد تكون خطيرة.
Evaporation|When water turns into vapor and rises.|تحول الماء إلى بخار يتصاعد.
Satellite|Machine orbiting Earth for TV and GPS.|جهاز يدور حول الأرض للبث وتحديد المواقع.
Algorithm|Step-by-step instructions a computer follows.|خطوات مرتبة يتبعها الحاسوب لحل مشكلة.
Circuit|Closed path electricity flows through.|مسار مغلق يمر فيه التيار الكهربائي.
Processor|The brain of the computer.|عقل الحاسوب الذي ينفذ العمليات.
Fingerprint|Unique lines on your finger tip, used to identify you.|خطوط فريدة على رأس الإصبع تحدد هويتك.
Encryption|Turning messages into secret code.|تحويل الرسائل إلى شيفرة سرية.
Turbine|Spinning wheel that generates electricity.|عجلة دوارة تولد الكهرباء.
Radar|Device that detects planes and ships far away.|جهاز يكشف الطائرات والسفن من بعيد.
Barcode|Black lines on products scanned at the register.|خطوط سوداء على المنتجات تمسح عند الدفع.
Vein|Vessel carrying blood back to the heart, looks blue.|وعاء يعيد الدم إلى القلب ويبدو أزرق.
Artery|Vessel carrying blood from the heart to the body.|وعاء ينقل الدم من القلب إلى الجسم.
Nerve|Carries signals between the brain and the body.|ينقل الإشارات بين الدماغ والجسم.
Spine|The chain of bones down the middle of your back.|سلسلة العظام في منتصف الظهر.
Retina|The back of the eye where images form.|الجزء الخلفي من العين حيث تتكون الصورة.
Pupil|The black circle in the middle of the eye.|الدائرة السوداء في وسط العين.
Eardrum|Thin skin inside the ear that vibrates with sound.|غشاء رقيق داخل الأذن يهتز مع الصوت.
Pancreas|Organ behind the stomach that controls sugar.|عضو خلف المعدة ينظم السكر.
Vertebra|One bone of the spine.|عظمة واحدة من العمود الفقري.
Diaphragm|The muscle under the lungs that helps breathing.|العضلة تحت الرئتين تساعد على التنفس.
Peninsula|Land surrounded by water from three sides.|أرض يحيط بها الماء من ثلاث جهات.
Glacier|Huge river of ice moving slowly.|نهر ضخم من الجليد يتحرك ببطء.
Plateau|High flat land like a table.|أرض مرتفعة مسطحة كالطاولة.
Equator|Imaginary line around the middle of the Earth.|خط وهمي حول منتصف الكرة الأرضية.
Continent|One of the seven big lands, like Africa or Asia.|واحدة من اليابسات السبع الكبرى كأفريقيا وآسيا.
Canyon|Very deep narrow valley cut by a river.|وادٍ عميق ضيق حفره النهر.
